query_id,paper_id,true_title,context,retrieved_titles,category,corpus_size
q_25,paper_1,Modeling polypharmacy side effects with graph convolutional networks," has attracted much attention recently,

and have been applied to various tasks such as bio-medicine<|cite_0|>, computational chemistry<|cite_1|>, social networks<|cite_2|>, computer vision, and natural languag","['Improved semantic representations from tree-structured long short-term memory networks', 'Incorporating syntactic and semantic information in word embeddings using graph convolutional networks', 'Graph convolutional networks for text classification', 'Bidirectional attention flow for machine comprehension', 'Bidirectional attention flow for machine comprehension']",not_in_top_k,38
q_26,paper_1,Neural message passing for quantum chemistry,"tly,

and have been applied to various tasks such as bio-medicine<|cite_0|>, computational chemistry<|cite_1|>, social networks<|cite_2|>, computer vision, and natural language understanding<|cite_3|>. GNN assu","['Graph convolutional networks for text classification', 'Improved semantic representations from tree-structured long short-term memory networks', 'Incorporating syntactic and semantic information in word embeddings using graph convolutional networks', 'Graph neural networks for social recommendation', 'How powerful are graph neural networks?']",not_in_top_k,38
q_28,paper_1,Dynamically fused graph network for multi-hop reasoning," chemistry<|cite_1|>, social networks<|cite_2|>, computer vision, and natural language understanding<|cite_3|>. GNN assumes structured graphical inputs, for example, molecule graphs, protein-protein interaction","['Graph neural networks for social recommendation', 'Graph convolutional networks for text classification', 'Improved semantic representations from tree-structured long short-term memory networks', 'Exploiting semantics in neural machine translation with graph convolutional networks', 'How powerful are graph neural networks?']",not_in_top_k,38
q_29,paper_1,Semi-supervised classification with graph convolutional networks,"s have been proposed to learn graph representation,

which include Graph Convolutional Network (GCN)<|cite_4|>, GraphSage<|cite_5|>, Graph Isomorphism Network (GIN)<|cite_6|> and Graph Attention Network (GAT)<|","['Graph convolutional networks for text classification', 'Incorporating syntactic and semantic information in word embeddings using graph convolutional networks', 'Aspect-based sentiment classification with aspect-specific graph convolutional networks', 'Graph attention networks', 'Graph attention networks']",not_in_top_k,38
q_30,paper_1,Inductive representation learning on large graphs,"to learn graph representation,

which include Graph Convolutional Network (GCN)<|cite_4|>, GraphSage<|cite_5|>, Graph Isomorphism Network (GIN)<|cite_6|> and Graph Attention Network (GAT)<|cite_7|>. Existing GN","['Aspect-based sentiment classification with aspect-specific graph convolutional networks', 'Graph convolution over pruned dependency trees improves relation extraction', 'Graph convolutional networks for text classification', 'Incorporating syntactic and semantic information in word embeddings using graph convolutional networks', 'Graph attention networks']",not_in_top_k,38
q_33,paper_1,Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs,"ge passing algorithm is applied to obtain node representations from these summarized feature vectors<|cite_8|>.

However, this early summarization strategy (summarization before GNN based representation learnin","['Bidirectional attention flow for machine comprehension', 'Bidirectional attention flow for machine comprehension', 'Inductive representation learning on large graphs', 'Inductive representation learning on large graphs', 'Graph convolutional networks for text classification']",not_in_top_k,38
q_34,paper_1,Bidirectional attention flow for machine comprehension,"egy (summarization before GNN based representation learning) could bring inevitable information loss<|cite_9|>, and result in
information flow bottleneck thus less powerful reasoning ability among graph nodes. ","['How powerful are graph neural networks?', 'How powerful are graph neural networks?', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs']",not_in_top_k,38
q_35,paper_1,Dynamic coattention networks for question answering,"as a way to encode query-aware contextual information based on affinity matrix between two sequences<|cite_10|>. In the context of this paper, the advantage of co-attention is that it can encode neighbor-aware i","['Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Incorporating syntactic and semantic information in word embeddings using graph convolutional networks', 'Bidirectional attention flow for machine comprehension']",not_in_top_k,38
q_36,paper_1,"Hotpotqa: A dataset for diverse, explainable multi-hop question answering","am}.

To validate the effectiveness of the proposed GSN, we experiment on two NLP datasets: HotpotQA<|cite_11|> and fact extraction and verification data set provided by FEVER shared task 1.0<|cite_12|>. Both ta","['Fever: a large-scale dataset for fact extraction and verification', 'Gear: Graph-based evidence aggregating and reasoning for fact verification', 'Gear: Graph-based evidence aggregating and reasoning for fact verification', 'How powerful are graph neural networks?', 'How powerful are graph neural networks?']",not_in_top_k,38
q_38,paper_1,Gear: Graph-based evidence aggregating and reasoning for fact verification,"ve reasoning ability, and top performance has been achieved with early summarization followed by GNN<|cite_13|>. With thorough experiments, we show that the proposed GSN achieves better performance than standard","['Sentence-state lstm for text representation', 'Dynamically fused graph network for multi-hop reasoning', 'Dynamically fused graph network for multi-hop reasoning', 'Dynamically fused graph network for multi-hop reasoning', 'Dynamically fused graph network for multi-hop reasoning']",not_in_top_k,38
q_39,paper_1,Semi-supervised classification with graph convolutional networks,"
Multiple GNN variants have been proposed with different message passing algorithms. For example GCN<|cite_14|>, Graph Sage<|cite_15|>, GAT<|cite_16|>, GIN<|cite_17|>, etc. Our proposed GSN can be regarded as a ","['How powerful are graph neural networks?', 'How powerful are graph neural networks?', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs']",not_in_top_k,38
q_40,paper_1,Inductive representation learning on large graphs,"have been proposed with different message passing algorithms. For example GCN<|cite_14|>, Graph Sage<|cite_15|>, GAT<|cite_16|>, GIN<|cite_17|>, etc. Our proposed GSN can be regarded as a variant of GNN. However","['How powerful are graph neural networks?', 'How powerful are graph neural networks?', 'Neural message passing for quantum chemistry', 'Graph neural networks for social recommendation', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs']",not_in_top_k,38
q_41,paper_1,Graph attention networks,"ed with different message passing algorithms. For example GCN<|cite_14|>, Graph Sage<|cite_15|>, GAT<|cite_16|>, GIN<|cite_17|>, etc. Our proposed GSN can be regarded as a variant of GNN. However, GSN differs fr","['Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'How powerful are graph neural networks?', 'How powerful are graph neural networks?']",not_in_top_k,38
q_44,paper_1,Exploiting semantics in neural machine translation with graph convolutional networks,lds graphs from parsing trees or develops graph-like Recurrent Neural Networks (RNN).<|cite_18|> and<|cite_19|> explored building graphs from syntactic or semantic parsing trees and inserted a GCN based sub-netw,"['Improved semantic representations from tree-structured long short-term memory networks', 'Graph neural networks for social recommendation', 'Graph convolutional networks for text classification', 'Aspect-based sentiment classification with aspect-specific graph convolutional networks', 'Graph convolutional encoders for syntax-aware neural machine translation']",not_in_top_k,38
