id,excerpt,target_paper_title,target_paper_url,source_paper_title,source_paper_url,year,split,Attributable,Unambiguous,NonTrivial,Reasonable,PassesAll,KeepAfterFiltering
121,"[CITATION] show: No computable learner can non-uniformly learn the class $\mathcal{H}_{comp}$, the class of all computable functions from $\mathbb{N}$ to {0, 1}",Statistical learning of arbitrary computable classifiers.,https://arxiv.org/pdf/0806.3537,On Learnability with Computable Learners,https://proceedings.mlr.press/v117/agarwal20b/agarwal20b.pdf,2008,train,True,True,True,True,True,True
122,"Significant progress was made by [CITATION], who gave a characterization of proper strong computable PAC learning in terms of the computability of a Empirical Risk Minimizer (ERM) and who constructed a class of finite VC dimension which is not computable PAC learnable, even in the improper sense. ",On characterizations of learnability with computable learners,https://arxiv.org/pdf/2202.05041,Find a witness or shatter: the landscape of computable PAC learning,https://arxiv.org/pdf/2302.04731,2023,train,True,True,True,True,True,True
128,"Contrastive vision-language representation learning has recently emerged as an effective technique to learn representations with weak supervision that work for a wide range of tasks and have intriguing properties, such as strong zero-shot abilities. However, our understanding of the learned representation is in its infancy. For instance, recent work showed the presence of a modality gap and attributed it to the cone effect of model initialization and the contrastive loss [CITATION].",Mind the Gap: Understanding the Modality Gap in Multi-modal Contrastive Representation Learning,https://arxiv.org/pdf/2203.02053,"Two Effects, One Trigger: On the Modality Gap, Object Bias, and Information Imbalance in Contrastive Vision-Language Representation Learning",https://arxiv.org/pdf/2404.07983,2022,test,True,True,True,True,True,True
140,"We use the large-scale online continual learning dataset CLOC [CITATION], which contains 39 million time-stamped images exhibiting natural distribution shifts. The task is to identify the geolocation of a given image where the total number of geolocation labels is 712.",Online Continual Learning with Natural Distribution Shifts: An Empirical Study with Visual Data,https://arxiv.org/pdf/2108.09020,Real-Time Evaluation in Online Continual Learning: A New Hope,https://openaccess.thecvf.com/content/CVPR2023/papers/Ghunaim_Real-Time_Evaluation_in_Online_Continual_Learning_A_New_Hope_CVPR_2023_paper.pdf,2023,test,True,True,True,True,True,True
152,"To the best of our knowledge, there is only one method, QII, that provably provides differentially private black-box post-hoc model explanations [CITATION], protecting the explanation data. QII introduces Shapley value based model explanations, which have become a popular model explanation framework",Algorithmic Transparency via Quantitative Input Influence: Theory and Experiments with Learning Systems,https://ieeexplore.ieee.org/document/7546525,Model Explanations with Differential Privacy,https://dl.acm.org/doi/fullHtml/10.1145/3531146.3533235,2022,train,True,True,True,True,True,True
164,"KD-DTI is dataset for drug-target-interaction introduced by [CITATION], consisting of 12k/1k/1.3k documents as the train/validation/test set. ",Discovering drug-target interaction knowledge from biomedical literature,https://arxiv.org/pdf/2109.13187,BioGPT: Generative Pre-trained Transformer for Biomedical Text Generation and Mining,https://arxiv.org/pdf/2210.10341,2023,test,True,True,True,True,True,True
177,"We define the robotics data mixture used across all of the experiments as the data from 9 manipulators, and taken from RT-1 [8], QT-Opt [66], Bridge [95], Task Agnostic Robot Play [126, 127], Jaco Play [128], Cable Routing [CITATION], RoboTurk [86], NYU VINN [130], Austin VIOLA [131], Berkeley Autolab UR5 [132], TOTO [133] and Language Table [91] datasets.",Multi-Stage Cable Routing through Hierarchical Imitation Learning,https://arxiv.org/pdf/2307.08927,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,https://arxiv.org/pdf/2310.08864v4,2023,test,True,True,True,True,True,True
187,"For readability scores, we report the Simple Measure of Gobbledygook (SMOG) score [CITATION] and the Flesch Reading Ease (FRE) score [28]",SMOG Grading-a New Readability Formula,https://ogg.osu.edu/media/documents/health_lit/WRRSMOG_Readability_Formula_G._Harry_McLaughlin__1969_.pdf,DOCCI: Descriptions of Connected and Contrasting Images,https://arxiv.org/pdf/2404.19753,2024,test,True,True,True,True,True,True
192,"For this task, we use the Comparative Question Completion dataset introduced by [CITATION]. This consists of questions in which one of a pair of coordinated elements is masked; the target is the masked phrase","What’s the best place for an ai conference, vancouver or ___: Why completing comparative questions is difficult ",https://arxiv.org/pdf/2104.01940,Is BERT Blind? Exploring the Effect of Vision-and-Language Pretraining on Visual Language Understanding,https://arxiv.org/pdf/2303.12513,2023,train,True,True,True,True,True,True
203,"[CITATION] trained a deep convolutional network-based system (PhysNet) to predict the stability of block towers from simulated images similar to those in Figure 4A but with much simpler configurations of two, three or four cubical blocks stacked vertically.",Learning Physical Intuition of Block Towers by Example.,https://arxiv.org/pdf/1603.01312,Building Machines That Learn and Think Like People,https://arxiv.org/pdf/1604.00289,2016,test,True,True,True,True,True,True
207,"[CITATION] propose two calibration measures to resolve this issue, which they call Adaptive Calibration Error (ACE) and Static Calibration Error (SCE). ACE and SCE extend ECE by measuring calibration over all classes in each bin, rather than just the predicted class.",Measuring Calibration in Deep Learning,https://openreview.net/forum?id=r1la7krKPS,The Calibration Generalization Gap,https://arxiv.org/pdf/2210.01964,2022,test,True,True,True,True,True,True
215,"Contrastive vision-language representation learning has recently emerged as an effective technique to learn representations with weak supervision that work for a wide range of tasks and have intriguing properties, such as strong zero-shot abilities. However, our understanding of the learned representation is in its infancy. For instance, recent work showed the presence of a modality gap and attributed it to the cone effect of model initialization and the contrastive loss [CITATION].",Mind the Gap: Understanding the Modality Gap in Multi-modal Contrastive Representation Learning,https://arxiv.org/pdf/2203.02053.pdf,"Two Effects, One Trigger: On the Modality Gap, Object Bias, and Information Imbalance in Contrastive Vision-Language Representation Learning",https://arxiv.org/pdf/2404.07983,2024,test,True,True,True,True,True,True
232,"The affinity matrix of spectral clustering is a natural target for rank reduction. In particular, [CITATION] have used the Nystr¨om approximation, which samples columns of the affinity matrix and approximates the full matrix by using correlations between the sampled columns and the remaining columns.",Spectral Grouping Using the Nystr ¨om Method,https://math.ucdavis.edu/~saito/courses/ACHA.READ.S03/fbcm-pami-nystrom.pdf,Fast Approximate Spectral Clustering,https://digitalassets.lib.berkeley.edu/techreports/ucb/text/EECS-2009-45.pdf,2009,test,True,True,True,True,True,True
237,"RCA [CITATION] is intermediate between PCA and LDA in its use of labeled data. Specifically, RCA makes use of so-called “chunklet” information, or subclass membership assignments.",Adjustment learning and relevant component analysis,https://www.semanticscholar.org/paper/Adjustment-Learning-and-Relevant-Component-Analysis-Shental-Hertz/5f619c286efec9931ac0f52d62bc149c62cdbf6e,Distance Metric Learning for Large Margin Nearest Neighbor Classification,https://jmlr.csail.mit.edu/papers/volume10/weinberger09a/weinberger09a.pdf,2009,test,True,True,True,True,True,True
243,"In particular, on [CITATION], which consists of images of common objects crowd-sourced from six different regions across the world, we find that using translated multilingual captions makes CLIP perform better on all regions, with the biggest gain coming from Africa images (5.5%) and the second biggest gain coming from the Europe region.",Geode: a geographically diverse evaluation dataset for object recognition,https://arxiv.org/pdf/2301.02560,Multilingual Diversity Improves Vision-Language Representations,https://arxiv.org/pdf/2405.16915,2024,test,True,True,True,True,True,True
256,"[CITATION] empirically determine that the effective context length of CLIP is less than 20 tokens and propose an algorithm to stretch the positional encoding, improving performance on longer texts",Long-CLIP: Unlocking the Long-Text Capability of CLIP,https://arxiv.org/pdf/2403.15378,Jina CLIP: Your CLIP Model Is Also Your Text Retriever,https://arxiv.org/pdf/2405.20204,2024,test,True,True,True,True,True,True
258,"We build upon GIT [CITATION], an auto-regressive image-to-text generative model. ",GIT: A Generative Image-to-text Transformer for Vision and Language,https://arxiv.org/pdf/2305.05065,A Generative Approach for Wikipedia-Scale Visual Entity Recognition,https://arxiv.org/pdf/2403.02041,2024,test,True,True,True,True,True,True
273,"[CITATION] famously introduced a selective SSM block, that incorporates structured SSMs with hardware-aware state expansion, leading to a highly efficient recurrent architecture that is competitive to Transformer.",Mamba: Linear-Time Sequence Modeling with Selective State Spaces,https://arxiv.org/pdf/2312.00752,Mamba-R: Vision Mamba ALSO Needs Registers,https://arxiv.org/pdf/2405.14858,2024,test,True,True,True,True,True,True
276,"Current research have also provided valuable insights into the grokking phenomenon from the dynamics of learning. [CITATION] reported that the grokking happens exclusively in accordance to a slingshot effect, which corresponding to a cyclic phase transitions between stable-and-unstable training regimes and the norm growth-and-plateau of the last layer weights",The Slingshot Mechanism: An Empirical Study of Adaptive Optimizers and the Grokking Phenomenon,https://arxiv.org/pdf/2206.04817,Deep Grokking: Would Deep Neural Networks Generalize Better?,https://arxiv.org/pdf/2405.19454,2024,test,True,True,True,True,True,True
278,"More recently, researchers have created a more realistic code synthesis benchmark by collecting GitHub issues along with the corresponding code base together with tests to measure the ability of LLMs to perform real-world software engineering tasks [CITATION]. ",Swe-bench: Can language models resolve real-world github issues?,https://arxiv.org/pdf/2310.06770,Is Your Code Generated by ChatGPT Really Correct? Rigorous Evaluation of Large Language Models for Code Generation,https://proceedings.neurips.cc/paper_files/paper/2023/file/43e9d647ccd3e4b7b5baab53f0368686-Paper-Conference.pdf,2023,test,True,True,True,True,True,True
